game_id,team_id,player_id,first_name,last_name,jersey_number,position,role
186403,1382,48374,Darren,Raddysh,43,D,
186403,1382,46480,Philippe,Myers,51,D,
186403,1382,46478,Cole,McWard,4,D,
186403,1382,43282,Jake,McCabe,22,D,
186403,1382,53429,Chris,Tanev,8,D,
186403,1382,48376,Morgan,Rielly,44,D,
186403,1382,49377,Troy,Stecher,28,D,
186403,1382,47489,Matthew,Knies,23,F,
186403,1382,46485,Max,Domi,11,F,
186403,1382,46492,Steven,Lorentz,18,F,
186403,1382,46491,Vinni,Lettieri,95,F,
186403,1382,46151,Teddy,Blueger,31,F,
186403,1382,46489,Dakota,Joshua,81,F,
186403,1382,47480,John,Tavares,91,F,
186403,1382,46488,Calle,Jarnkrok,19,F,
186403,1382,48377,William,Nylander,88,F,
186403,1382,47488,Ryan,Tverberg,77,F,
186403,1382,46495,Auston,Matthews,34,F,
186403,1382,46486,Bo,Groulx,29,F,
186403,1382,52869,Henrik,Rybinski,58,F,
186403,1382,47493,Anthony,Stolarz,41,G,
186403,1382,48281,Joseph,Woll,60,G,
186403,1384,39432,Mackenzie,Blackwood,39,G,
186403,1384,43763,Alex,Gagne,45,D,
186403,1384,43733,Brent,Burns,84,D,
186403,1384,46050,Josh,Manson,42,D,
186403,1384,45818,Sam,Malinski,70,D,
186403,1384,43964,Cale,Makar,8,D,
186403,1384,47829,Devon,Toews,7,D,
186403,1384,44621,Gabriel,Landeskog,92,F,
186403,1384,39429,Zakhar,Bardakov,93,F,
186403,1384,41860,Parker,Kelly,17,F,
186403,1384,39436,Alex,Barre-Boulet,27,F,
186403,1384,39546,Gavin,Brindley,54,F,
186403,1384,44567,T.J.,Tynan,9,F,
186403,1384,43966,Martin,Necas,88,F,
186403,1384,43762,Nathan,MacKinnon,29,F,
186403,1384,44473,Brock,Nelson,11,F,
186403,1384,45310,Artturi,Lehkonen,62,F,
186403,1384,39574,Vinnie,Hinostroza,32,F,
186403,1384,38046,Nick,Blankenburg,37,D,
186403,1384,40764,Nazem,Kadri,91,F,
186403,1384,44548,Nicolas,Roy,10,F,
186403,1384,46002,Scott,Wedgewood,41,G,
186911,879,52059,Scott,Morrow,66,D,
186911,879,46249,Shayne,Gostisbehere,4,D,
186911,879,45726,Jalen,Chatfield,5,D,
186911,879,46444,K'Andre,Miller,19,D,
186911,879,48269,Mike,Reilly,6,D,
186911,879,50377,Jaccob,Slavin,74,D,
186911,879,50742,Alexander,Nikishin,61,D,
186911,879,50676,William,Carrier,28,F,
186911,879,46001,Charlie,Cerrato,21,F,
186911,879,44587,Sebastian,Aho,20,F,
186911,879,50519,Logan,Stankoven,22,F,
186911,879,51040,Taylor,Hall,71,F,
186911,879,51140,Jordan,Martinook,48,F,
186911,879,51141,Eric,Robinson,50,F,
186911,879,50380,Jesperi,Kotkaniemi,82,F,
186911,879,51151,Jackson,Blake,53,F,
186911,879,51037,Nikolaj,Ehlers,27,F,
186911,879,52094,Andrei,Svechnikov,37,F,
186911,879,50511,Sean,Walker,26,D,
186911,879,46036,Seth,Jarvis,24,F,
186911,879,51092,Mark,Jankowski,77,F,
186911,879,50428,Jordan,Staal,11,F,
186911,879,50489,Brandon,Bussi,32,G,
186911,879,51687,Pyotr,Kochetkov,52,G,
186911,1382,48374,Darren,Raddysh,43,D,
186911,1382,46480,Philippe,Myers,51,D,
186911,1382,46478,Cole,McWard,4,D,
186911,1382,43282,Jake,McCabe,22,D,
186911,1382,53429,Chris,Tanev,8,D,
186911,1382,48376,Morgan,Rielly,44,D,
186911,1382,49377,Troy,Stecher,28,D,
186911,1382,47489,Matthew,Knies,23,F,
186911,1382,46485,Max,Domi,11,F,
186911,1382,46492,Steven,Lorentz,18,F,
186911,1382,46491,Vinni,Lettieri,95,F,
186911,1382,46151,Teddy,Blueger,31,F,
186911,1382,46489,Dakota,Joshua,81,F,
186911,1382,47480,John,Tavares,91,F,
186911,1382,46488,Calle,Jarnkrok,19,F,
186911,1382,48377,William,Nylander,88,F,
186911,1382,47488,Ryan,Tverberg,77,F,
186911,1382,46495,Auston,Matthews,34,F,
186911,1382,46486,Bo,Groulx,29,F,
186911,1382,52869,Henrik,Rybinski,58,F,
186911,1382,47493,Anthony,Stolarz,41,G,
186911,1382,48281,Joseph,Woll,60,G,
186910,1384,39432,Mackenzie,Blackwood,39,G,
186910,1384,43763,Alex,Gagne,45,D,
186910,1384,43733,Brent,Burns,84,D,
186910,1384,46050,Josh,Manson,42,D,
186910,1384,45818,Sam,Malinski,70,D,
186910,1384,43964,Cale,Makar,8,D,
186910,1384,47829,Devon,Toews,7,D,
186910,1384,44621,Gabriel,Landeskog,92,F,
186910,1384,39429,Zakhar,Bardakov,93,F,
186910,1384,41860,Parker,Kelly,17,F,
186910,1384,39436,Alex,Barre-Boulet,27,F,
186910,1384,39546,Gavin,Brindley,54,F,
186910,1384,44567,T.J.,Tynan,9,F,
186910,1384,43966,Martin,Necas,88,F,
186910,1384,43762,Nathan,MacKinnon,29,F,
186910,1384,44473,Brock,Nelson,11,F,
186910,1384,45310,Artturi,Lehkonen,62,F,
186910,1384,39574,Vinnie,Hinostroza,32,F,
186910,1384,38046,Nick,Blankenburg,37,D,
186910,1384,40764,Nazem,Kadri,91,F,
186910,1384,44548,Nicolas,Roy,10,F,
186910,1384,46002,Scott,Wedgewood,41,G,
186910,1387,50669,Lukas,Cormier,51,D,
186910,1387,48626,Rasmus,Andersson,4,D,
186910,1387,50719,Jeremy,Davies,84,D,
186910,1387,56868,Jeremy,Lauzon,5,D,
186910,1387,48601,Brett,Howden,21,F,
186910,1387,53253,Noah,Hanifin,15,D,
186910,1387,50216,Raphael,Lavoie,36,F,
186910,1387,48636,Dylan,Coghlan,52,D,
186910,1387,52537,Trevor,Connelly,24,F,
186910,1387,48595,Tomas,Hertl,48,F,
186910,1387,58173,Brandon,Saad,20,F,
186910,1387,48299,Jack,Eichel,9,F,
186910,1387,58174,Mitch,Marner,93,F,
186910,1387,44103,Nic,Dowd,26,F,
186910,1387,48622,Tanner,Laczynski,28,F,
186910,1387,56369,Ben,Hutton,17,D,
186910,1387,48616,William,Karlsson,71,F,
186910,1387,51099,Ivan,Barbashev,49,F,
186910,1387,58175,Mark,Stone,61,F,
186910,1387,50736,Kai,Uchacz,77,F,
186910,1387,48631,Carter,Hart,79,G,
186910,1387,48637,Adin,Hill,33,G,
171083,879,52059,Scott,Morrow,66,D,
171083,879,46249,Shayne,Gostisbehere,4,D,
171083,879,45726,Jalen,Chatfield,5,D,
171083,879,46444,K'Andre,Miller,19,D,
171083,879,48269,Mike,Reilly,6,D,
171083,879,50742,Alexander,Nikishin,61,D,
171083,879,50676,William,Carrier,28,F,
171083,879,46001,Charlie,Cerrato,21,F,
171083,879,44587,Sebastian,Aho,20,F,
171083,879,50519,Logan,Stankoven,22,F,
171083,879,51040,Taylor,Hall,71,F,
171083,879,51140,Jordan,Martinook,48,F,
171083,879,51141,Eric,Robinson,50,F,
171083,879,50380,Jesperi,Kotkaniemi,82,F,
171083,879,51151,Jackson,Blake,53,F,
171083,879,52094,Andrei,Svechnikov,37,F,
171083,879,50511,Sean,Walker,26,D,
171083,879,46036,Seth,Jarvis,24,F,
171083,879,51092,Mark,Jankowski,77,F,
171083,879,50428,Jordan,Staal,11,F,
171083,879,50489,Brandon,Bussi,32,G,
171083,879,51687,Pyotr,Kochetkov,52,G,
171083,1383,56701,Tristan,Jarry,35,G,
171083,1383,54611,Jake,Walman,96,D,
171083,1383,53414,Ty,Emberson,49,D,
171083,1383,45846,Evan,Bouchard,2,D,
171083,1383,53410,Mattias,Ekholm,14,D,
171083,1383,53423,Connor,Murphy,5,D,
171083,1383,54567,Spencer,Stastney,24,D,
171083,1383,56703,Vincent,Desharnais,73,D,
171083,1383,53418,Owen,Michaels,27,F,
171083,1383,53403,Adam,Henrique,19,F,
171083,1383,53416,Curtis,Lazar,20,F,
171083,1383,52339,Colton,Dach,34,F,
171083,1383,53417,Connor,McDavid,97,F,
171083,1383,56700,Max,Jones,46,F,
171083,1383,53419,Ryan,Nugent-Hopkins,93,F,
171083,1383,53402,Trent,Frederic,10,F,
171083,1383,53107,Leon,Draisaitl,29,F,
171083,1383,54616,Zach,Hyman,18,F,
171083,1383,58172,Josh,Brown,4,D,
171083,1383,53422,Matt,Savoie,22,F,
171083,1383,52348,Jason,Dickinson,16,F,
171083,1383,54003,Connor,Ingram,39,G,
